"";"gene_id";"gene_type"
"14901";"ENSG00000228750.1";"lincRNA"
"14911";"ENSG00000239166.1";"snoRNA"
"14914";"ENSG00000237436.1";"antisense"
"14919";"ENSG00000171735.14";"protein_coding"
"15172";"ENSG00000227950.1";"pseudogene"
"15175";"ENSG00000237365.1";"antisense"
"15179";"ENSG00000207056.1";"snRNA"
"15182";"ENSG00000237402.1";"sense_intronic"
"15186";"ENSG00000237728.1";"antisense"
"15194";"ENSG00000225126.1";"antisense"
"15198";"ENSG00000270171.1";"lincRNA"
"15201";"ENSG00000270035.1";"lincRNA"
"15204";"ENSG00000269978.1";"lincRNA"
"15207";"ENSG00000049245.8";"protein_coding"
"15242";"ENSG00000269925.1";"sense_intronic"
"15245";"ENSG00000049246.10";"protein_coding"
"15379";"ENSG00000236266.1";"antisense"
"15384";"ENSG00000049247.9";"protein_coding"
"15431";"ENSG00000049249.4";"protein_coding"
"15475";"ENSG00000270330.1";"pseudogene"
"15478";"ENSG00000116288.8";"protein_coding"
"15621";"ENSG00000200344.1";"misc_RNA"
"15624";"ENSG00000116285.8";"protein_coding"
"15682";"ENSG00000238290.1";"lincRNA"
"15687";"ENSG00000232848.1";"pseudogene"
"15691";"ENSG00000229305.1";"pseudogene"
"15697";"ENSG00000200975.1";"snRNA"
"15700";"ENSG00000227634.1";"lincRNA"
"15706";"ENSG00000233645.1";"lincRNA"
"15710";"ENSG00000265414.1";"misc_RNA"
"15713";"ENSG00000251977.1";"snRNA"
"15716";"ENSG00000162426.10";"protein_coding"
"15792";"ENSG00000252254.1";"misc_RNA"
"15795";"ENSG00000142599.13";"protein_coding"
"16103";"ENSG00000232912.1";"antisense"
"16113";"ENSG00000221083.1";"snoRNA"
"16116";"ENSG00000270282.1";"pseudogene"
"16119";"ENSG00000234619.1";"pseudogene"
"16122";"ENSG00000224315.2";"pseudogene"
"16125";"ENSG00000222511.1";"misc_RNA"
"16128";"ENSG00000226545.1";"pseudogene"
"16132";"ENSG00000228423.2";"lincRNA"
"16136";"ENSG00000229716.2";"pseudogene"
"16139";"ENSG00000074800.9";"protein_coding"
"16212";"ENSG00000236269.1";"sense_intronic"
"16216";"ENSG00000230679.1";"antisense"
"16220";"ENSG00000201725.1";"snRNA"
"16223";"ENSG00000238249.1";"pseudogene"
"16228";"ENSG00000232208.2";"pseudogene"
"16231";"ENSG00000232663.2";"pseudogene"
"16234";"ENSG00000131686.10";"protein_coding"
"16327";"ENSG00000265141.1";"misc_RNA"
"16330";"ENSG00000197241.3";"protein_coding"
"16359";"ENSG00000142583.13";"protein_coding"
"16565";"ENSG00000252404.1";"snoRNA"
"16568";"ENSG00000180758.10";"protein_coding"
"16601";"ENSG00000207865.1";"miRNA"
"16604";"ENSG00000228526.2";"lincRNA"
"16609";"ENSG00000234546.2";"lincRNA"
"16614";"ENSG00000049239.8";"protein_coding"
"16648";"ENSG00000252841.1";"miRNA"
"16651";"ENSG00000171621.9";"protein_coding"
"16690";"ENSG00000252956.1";"rRNA"
"16693";"ENSG00000235263.1";"lincRNA"
"16697";"ENSG00000171612.6";"protein_coding"
"16717";"ENSG00000231181.1";"pseudogene"
"16720";"ENSG00000188807.8";"protein_coding"
